Season,AEZ,CP,CROP,YIELD GOAL,N,P,K,S,Mg,Zn,B,Mo,Cowdung,Poultry Manure
Rabi,1,Boro rice - Fallow - T.Aman rice,Boro rice,7.5,150,20,65,18,0,1.3,0,0,0,0
Kharif - 1,1,Boro rice - Fallow - T.Aman rice,T.Aman rice,5,90,10,35,10,0,1,0,0,0,0
Kharif - 2,1,Boro rice - Fallow - T.Aman rice,Fallow,0,0,0,0,0,0,0,0,0,0,0
Rabi,1,Wheat - Fallow - T.Aman rice,Wheat,4.5,120,30,60,10,4,1,1,0,0,0
Kharif - 1,1,Wheat - Fallow - T.Aman rice,T.Aman rice,5,90,10,35,10,0,1,0,0,0,0
Kharif - 2,1,Wheat - Fallow - T.Aman rice,Fallow,0,0,0,0,0,0,0,0,0,0,0
Rabi,1,Wheat - Jute - T.Aman rice,Wheat,4.5,120,30,60,10,4,1,1,0,0,0
Kharif - 1,1,Wheat - Jute - T.Aman rice,Jute(O),4.5,111,10,42,9,0,0,0,0,0,0
Kharif - 2,1,Wheat - Jute - T.Aman rice,T.Aman rice,5,90,10,35,10,0,1,0,0,0,0
Rabi,1,Potato - T.Aus rice - T.Aman rice,Potato,30,135,30,90,10,5,2,1,0,0,0
Kharif - 1,1,Potato - T.Aus rice - T.Aman rice,T.Aus rice,4,75,10,20,6,0,0.6,0,0,0,0
Kharif - 2,1,Potato - T.Aus rice - T.Aman rice,T.Aman rice,5,90,10,30,10,0,1,0,0,0,0
Rabi,1,Maize - Fallow - T.Aman rice,Maize,10,255,75,80,36,10,2,1.5,0,0,0
Kharif - 1,1,Maize - Fallow - T.Aman rice,Fallow,0,0,0,0,0,0,0,0,0,0,0
Kharif - 2,1,Maize - Fallow - T.Aman rice,T.Aman rice,5,90,10,30,10,0,1,0,0,0,0
Rabi,2,Boro rice - Fallow - T.Aman rice,Boro rice,7.5,150,20,65,12,0,1.3,0,0,0,0
Kharif - 1,2,Boro rice - Fallow - T.Aman rice,Fallow,0,0,0,0,0,0,0,0,0,0,0
Kharif - 2,2,Boro rice - Fallow - T.Aman rice,T.Aman rice,5,90,10,35,8,0,1,0,0,0,0
Rabi,2,Wheat - Fallow - T.Aman rice,Wheat,4.5,120,30,60,10,4,1,1,0,0,0
Kharif - 1,2,Wheat - Fallow - T.Aman rice,T.Aman rice,5,90,10,35,8,0,1,0,0,0,0
Kharif - 2,2,Wheat - Fallow - T.Aman rice,Fallow,0,0,0,0,0,0,0,0,0,0,0
Rabi,2,Wheat - Jute - T.Aman rice,Wheat,4.5,120,30,60,10,4,1,1,0,0,0
Kharif - 1,2,Wheat - Jute - T.Aman rice,Jute(O),4.5,111,10,42,9,0,0,0,0,0,0
Kharif - 2,2,Wheat - Jute - T.Aman rice,T.Aman rice,5,90,10,35,8,0,1,0,0,0,0
Rabi,2,Potato - T.Aus rice - T.Aman rice,Potato,30,135,30,90,10,5,2,1,0,0,0
Kharif - 1,2,Potato - T.Aus rice - T.Aman rice,T.Aus,4,75,10,20,6,0,0.6,0,0,0,0
Kharif - 2,2,Potato - T.Aus rice - T.Aman rice,T.Aman rice,5,90,10,30,8,0,1,0,0,0,0
Rabi,2,Potato - Jute - T.Aman rice,Potato,30,135,30,90,10,5,2,1,0,0,0
Kharif - 1,2,Potato - Jute - T.Aman rice,Jute(O),4.5,111,10,32,9,0,0,0,0,0,0
Kharif - 2,2,Potato - Jute - T.Aman rice,T.Aman rice,5,90,10,30,8,0,1,0,0,0,0
Rabi,2,Maize - Fallow - T.Aman rice,Maize,10,255,75,80,36,5,2,1.5,0,0,0
Kharif - 1,2,Maize - Fallow - T.Aman rice,Fallow,0,0,0,0,0,0,0,0,0,0,0
Kharif - 2,2,Maize - Fallow - T.Aman rice,T.Aman rice,5,90,10,30,8,0,1,0,0,0,0
Rabi,3,Boro rice - Fallow - T.Aman rice,Boro rice,7.5,150,20,65,18,0,2.6,0,0,0,0
Kharif - 1,3,Boro rice - Fallow - T.Aman rice,Fallow,0,0,0,0,0,0,0,0,0,0,0
Kharif - 2,3,Boro rice - Fallow - T.Aman rice,T.Aman rice,5,90,10,35,12,0,1.5,0,0,0,0
Rabi,3,Wheat - Fallow - T.Aman rice,Wheat,4.5,120,30,60,15,4,1,1,0,0,0
Kharif - 1,3,Wheat - Fallow - T.Aman rice,Fallow,0,0,0,0,0,0,0,0,0,0,0
Kharif - 2,3,Wheat - Fallow - T.Aman rice,T.Aman rice,5,90,10,35,12,0,1,0,0,0,0
Rabi,3,Wheat - Jute - T.Aman rice,Wheat,4.5,120,30,60,15,4,1,1,0,0,0
Kharif - 1,3,Wheat - Jute - T.Aman rice,Jute(O),4.5,111,10,42,13,0,0,0,0,0,0
Kharif - 2,3,Wheat - Jute - T.Aman rice,T.Aman rice,5,90,10,35,12,0,1,0,0,0,0
Rabi,3,Potato - T.Aus rice - T.Aman rice,Potato,30,135,30,90,15,5,2,1,0,0,0
Kharif - 1,3,Potato - T.Aus rice - T.Aman rice,T.Aus,4,75,10,20,9,0,0.6,0,0,0,0
Kharif - 2,3,Potato - T.Aus rice - T.Aman rice,T.Aman rice,5,90,10,30,12,0,1,0,0,0,0
Rabi,3,Potato - Jute - T.Aman rice,Potato,30,135,30,90,15,5,2,1,0,0,0
Kharif - 1,3,Potato - Jute - T.Aman rice,Jute(O),4.5,111,10,32,13,0,0,0,0,0,0
Kharif - 2,3,Potato - Jute - T.Aman rice,T.Aman rice,5,90,10,30,12,0,1,0,0,0,0
Rabi,3,Maize - Fallow - T.Aman rice,Maize,10,255,75,80,52,10,3,1.5,0,0,0
Kharif - 1,3,Maize - Fallow - T.Aman rice,Fallow,0,0,0,0,0,0,0,0,0,0,0
Kharif - 2,3,Maize - Fallow - T.Aman rice,T.Aman rice,5,90,10,30,12,0,1,0,0,0,0
Rabi,3,Maize - Jute - T.Aman rice,Maize,10,255,75,80,52,10,3,0,0,0,0
Kharif - 1,3,Maize - Jute - T.Aman rice,Jute(O),4.5,111,10,32,13,0,0,0,0,0,0
Kharif - 2,3,Maize - Jute - T.Aman rice,T.Aman rice,5,90,10,30,12,0,1,0,0,0,0
Rabi,3,Onion - Jute - T.Aman rice,Onion,16,90,45,80,30,0,3,1.5,0,0,0
Kharif - 1,3,Onion - Jute - T.Aman rice,Jute(O),4.5,111,10,32,13,0,0,0,0,0,0
Kharif - 2,3,Onion - Jute - T.Aman rice,T.Aman rice,5,90,10,35,12,0,0,0,0,0,0
Rabi,8,Boro rice - Fallow - T.Aman rice,Boro rice,7.5,150,20,65,18,0,1.3,0,0,0,0
Kharif - 1,8,Boro rice - Fallow - T.Aman rice,Fallow,0,0,0,0,0,0,0,0,0,0,0
Kharif - 2,8,Boro rice - Fallow - T.Aman rice,T.Aman rice,5,90,10,35,12,0,1,0,0,0,0
Rabi,8,Wheat - Jute - T.Aman rice,Wheat,4.5,120,30,60,15,4,1,1,0,0,0
Kharif - 1,8,Wheat - Jute - T.Aman rice,Jute(O),4.5,111,10,42,13,0,0,0,0,0,0
Kharif - 2,8,Wheat - Jute - T.Aman rice,T.Aman rice,5,90,10,35,12,0,1,0,0,0,0
Rabi,8,Potato - Jute - T.Aman rice,Potato,30,135,30,90,15,5,2,2,0,0,0
Kharif - 1,8,Potato - Jute - T.Aman rice,Jute(O),4.5,111,10,32,13,0,0,0,0,0,0
Kharif - 2,8,Potato - Jute - T.Aman rice,T.Aman rice,5,90,10,30,12,0,1,0,0,0,0
Rabi,8,Potato - Fallow - T.Aman rice,Potato,30,135,30,90,15,5,2,2,0,0,0
Kharif - 1,8,Potato - Fallow - T.Aman rice,Fallow,0,0,0,0,0,0,0,0,0,0,0
Kharif - 2,8,Potato - Fallow - T.Aman rice,T.Aman rice,5,90,10,30,12,0,1,0,0,0,0
Rabi,8,Potato - Jute - Fallow,Potato,30,135,30,90,15,5,2,1,0,0,0
Kharif - 1,8,Potato - Jute - Fallow,Jute(C) ,3.5,75,8,18,8,0,0,0,0,0,0
Kharif - 2,9,Boro rice - T.Aus rice - T.Aman rice,Boro rice,7.5,150,20,65,18,0,1.3,0,0,0,0
Rabi,9,Boro rice - T.Aus rice - T.Aman rice,T.Aus,4,75,10,25,9,0,0.6,0,0,0,0
Kharif - 1,9,Boro rice - T.Aus rice - T.Aman rice,T.Aman rice,5,90,10,35,12,0,1,0,0,0,0
Kharif - 2,9,Boro rice - Fallow - T.Aman rice,Boro rice,7.5,150,20,65,18,0,1.3,0,0,0,0
Rabi,9,Boro rice - Fallow - T.Aman rice,Fallow,0,0,0,0,0,0,0,0,0,0,0
Kharif - 1,9,Boro rice - Fallow - T.Aman rice,T.Aman rice,5,90,10,35,12,0,1,0,0,0,0
Kharif - 2,9,Boro rice - Jute - T.Aman rice,Boro rice,7.5,150,20,65,18,0,1.3,0,0,0,0
Rabi,9,Boro rice - Jute - T.Aman rice,Jute(O),4.5,111,10,42,13,0,0,0,0,0,0
Kharif - 1,9,Boro rice - Jute - T.Aman rice,T.Aman rice,5,90,10,35,12,0,1,0,0,0,0
Kharif - 2,9,Wheat - Jute - T.Aman rice,Wheat,4.5,120,30,60,15,4,1,1,0,0,0
Rabi,9,Wheat - Jute - T.Aman rice,Jute(O),4.5,111,10,42,13,0,0,0,0,0,0
Kharif - 1,9,Wheat - Jute - T.Aman rice,T.Aman rice,5,90,10,35,12,0,1,0,0,0,0
Kharif - 2,9,Wheat - Jute - Fallow,Wheat,4.5,120,30,60,15,4,1,1,0,0,0
Rabi,9,Wheat - Jute - Fallow,Jute(C) ,3.5,75,8,28,8,0,0,0,0,0,0
Kharif - 1,9,Wheat - Jute - Fallow,Fallow,0,0,0,0,0,0,0,0,0,0,0
Kharif - 2,9,Potato - Jute - T.Aman rice,Potato,30,135,30,90,15,5,2,1,0,0,0
Rabi,9,Potato - Jute - T.Aman rice,Jute(O),4.5,111,10,32,13,0,0,0,0,0,0
Kharif - 1,9,Potato - Jute - T.Aman rice,T.Aman rice,5,90,10,30,12,0,1,0,0,0,0
Kharif - 2,9,Potato - Jute - Fallow,Potato,30,135,30,90,15,5,2,1,0,0,0
Rabi,9,Potato - Jute - Fallow,Jute(C) ,3.5,75,8,28,8,0,0,0,0,0,0
Kharif - 1,9,Potato - Jute - Fallow,Fallow,0,0,0,0,0,0,0,0,0,0,0
